Watershed,Water level station,Hydrologic time,Current water level,Warning value,Be vigilant
高屏溪,達西霸樂橋,11-26 22:10,740.64,"{'Level 1': '745', 'Level 2': '743.9', 'Level 3': '--'}",未達警戒
大甲溪,谷關大橋,11-26 22:10,702.83,"{'Level 1': '720.2', 'Level 2': '719.3', 'Level 3': '--'}",未達警戒
大甲溪,松鶴橋,11-26 22:10,637.41,"{'Level 1': '646.2', 'Level 2': '644.6', 'Level 3': '--'}",未達警戒
大安溪,象鼻(3),11-26 22:10,623.36,"{'Level 1': '633.2', 'Level 2': '631.3', 'Level 3': '--'}",未達警戒
大安溪,雪山坑橋,11-26 22:10,598.87,"{'Level 1': '607.4', 'Level 2': '606', 'Level 3': '--'}",未達警戒
大安溪,雙崎,11-26 22:10,478.57,"{'Level 1': '493.5', 'Level 2': '492.4', 'Level 3': '--'}",未達警戒
濁水溪,內茅埔,11-26 22:20,471.55,"{'Level 1': '477.6', 'Level 2': '477.2', 'Level 3': '474.6'}",未達警戒
大甲溪,龍安橋,11-26 22:10,440.55,"{'Level 1': '446.5', 'Level 2': '445.2', 'Level 3': '--'}",未達警戒
烏溪,觀音橋,11-26 22:10,381.35,"{'Level 1': '388.8', 'Level 2': '387.2', 'Level 3': '--'}",未達警戒
濁水溪,寶石橋,11-26 22:20,346.19,"{'Level 1': '353.9', 'Level 2': '352.4', 'Level 3': '--'}",未達警戒
烏溪,南北通橋,11-26 22:10,336.97,"{'Level 1': '344.9', 'Level 2': '343.2', 'Level 3': '--'}",未達警戒
大安溪,卓蘭,11-26 22:10,320.75,"{'Level 1': '326.3', 'Level 2': '325.3', 'Level 3': '--'}",未達警戒
大甲溪,東勢大橋,11-26 22:10,319.32,"{'Level 1': '326.6', 'Level 2': '325.8', 'Level 3': '--'}",未達警戒
卑南溪,新武呂(4),11-26 22:10,318.44,"{'Level 1': '320.6', 'Level 2': '319.9', 'Level 3': '319'}",未達警戒
卑南溪,池上大橋,11-26 22:10,278.15,"{'Level 1': '285.4', 'Level 2': '284.4', 'Level 3': '--'}",未達警戒
高屏溪,獅額頭橋,11-26 22:10,266.29,"{'Level 1': '281.7', 'Level 2': '278.2', 'Level 3': '--'}",未達警戒
濁水溪,水里,11-26 22:20,265.35,"{'Level 1': '268.5', 'Level 2': '267.7', 'Level 3': '--'}",未達警戒
濁水溪,玉峰橋,11-26 22:20,263.48,"{'Level 1': '273.6', 'Level 2': '271.9', 'Level 3': '268.6'}",未達警戒
秀姑巒溪,文田橋,11-26 22:10,261.41,"{'Level 1': '263.4', 'Level 2': '263', 'Level 3': '--'}",未達警戒
後龍溪,順義橋,11-26 22:10,259.63,"{'Level 1': '264.66', 'Level 2': '262.98', 'Level 3': '--'}",未達警戒
高屏溪,四德大橋,11-26 22:10,251.42,"{'Level 1': '260.7', 'Level 2': '259.1', 'Level 3': '--'}",未達警戒
頭前溪,內灣,11-26 22:10,247.23,"{'Level 1': '255', 'Level 2': '253.4', 'Level 3': '250.2'}",未達警戒
高屏溪,多納大橋,11-26 22:10,245.29,"{'Level 1': '250.1', 'Level 2': '248.6', 'Level 3': '--'}",未達警戒
高屏溪,六龜(1),11-26 22:10,225.64,"{'Level 1': '238.2', 'Level 2': '235.9', 'Level 3': '--'}",未達警戒
後龍溪,彼岸橋,11-26 22:10,220.78,"{'Level 1': '229.9', 'Level 2': '229.1', 'Level 3': '228.7'}",未達警戒
頭前溪,上坪,11-26 22:10,208.89,"{'Level 1': '218.1', 'Level 2': '217.1', 'Level 3': '213.6'}",未達警戒
卑南溪,電光大橋,11-26 22:10,207.08,"{'Level 1': '214.8', 'Level 2': '213.6', 'Level 3': '212'}",未達警戒
蘭陽溪,牛鬥(3),11-26 22:10,200.38,"{'Level 1': '208.1', 'Level 2': '206.8', 'Level 3': '--'}",未達警戒
大甲溪,后豐大橋,11-26 22:10,195.67,"{'Level 1': '206.3', 'Level 2': '205.4', 'Level 3': '--'}",未達警戒
蘭陽溪,清水大橋,11-26 22:10,194.48,"{'Level 1': '198.6', 'Level 2': '197.5', 'Level 3': '--'}",未達警戒
秀姑巒溪,崙天大橋,11-26 22:10,193.71,"{'Level 1': '198.7', 'Level 2': '198.3', 'Level 3': '--'}",未達警戒
秀姑巒溪,卓樂橋,11-26 22:20,192.52,"{'Level 1': '200.9', 'Level 2': '200.4', 'Level 3': '--'}",未達警戒
大安溪,義里,11-26 22:10,190.37,"{'Level 1': '196.5', 'Level 2': '195.5', 'Level 3': '--'}",未達警戒
濁水溪,龍門橋,11-26 22:00,186.85,"{'Level 1': '195.2', 'Level 2': '194.6', 'Level 3': '--'}",未達警戒
中港溪,永興橋,11-26 22:20,175.41,"{'Level 1': '179.4', 'Level 2': '178.6', 'Level 3': '--'}",未達警戒
烏溪,嘉新橋,11-26 22:10,172.05,"{'Level 1': '178', 'Level 2': '177.2', 'Level 3': '--'}",未達警戒
後龍溪,打鹿坑,11-26 22:10,169.62,"{'Level 1': '181', 'Level 2': '178', 'Level 3': '175.6'}",未達警戒
秀姑巒溪,立山,11-26 22:10,168.06,"{'Level 1': '173', 'Level 2': '171.6', 'Level 3': '--'}",未達警戒
烏溪,雙冬橋,11-26 22:10,164.85,"{'Level 1': '174.3', 'Level 2': '172.7', 'Level 3': '--'}",未達警戒
花蓮溪,馬鞍溪橋,11-26 22:10,163.57,"{'Level 1': '167.7', 'Level 2': '166.2', 'Level 3': '--'}",未達警戒
卑南溪,瑞源,11-26 22:10,161.06,"{'Level 1': '163.5', 'Level 2': '162.4', 'Level 3': '--'}",未達警戒
卑南溪,延平,11-26 22:10,157.00,"{'Level 1': '164.3', 'Level 2': '163.3', 'Level 3': '--'}",未達警戒
花蓮溪,平林,11-26 22:10,156.24,"{'Level 1': '161.4', 'Level 2': '160.6', 'Level 3': '--'}",未達警戒
秀姑巒溪,馬遠橋,11-26 22:10,155.69,"{'Level 1': '164.7', 'Level 2': '163.7', 'Level 3': '--'}",未達警戒
濁水溪,延平橋,11-26 22:20,155.37,"{'Level 1': '163.3', 'Level 2': '162.7', 'Level 3': '--'}",未達警戒
